# Area: Peru
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.19   Longitude -75.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 257.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.38,24.39,25.03,25.82,25.75,25.23,25.49,27.13,28.52,26.17,26.07,24.55,25.8
T2M,1982,24.45,24.35,24.31,24.17,23.93,24.36,24.66,26.59,26.53,25.6,26.5,27.33,25.24
T2M,1983,28.62,28.97,28.97,28.47,28.3,28.81,29.75,30.47,31.49,30.76,28.14,24.47,28.93
T2M,1984,23.92,24.02,24.18,24.2,24.25,24.11,23.83,25.14,27.42,27.21,25.24,25.04,24.88
T2M,1985,25.15,24.58,24.35,24.23,25.09,25.27,25.24,26.78,27.8,26.9,25.72,26.42,25.63
T2M,1986,25.37,24.46,23.94,23.99,24.62,24.36,25.1,27.39,27.94,26.82,26.78,25.7,25.55
T2M,1987,25.02,25.62,25.47,25.52,24.99,25.37,26.62,27.93,28.84,27.36,25.49,25.79,26.17
T2M,1988,26.58,26.29,25.7,25.73,26.06,25.56,26.02,29.09,29.23,28.39,26.63,25.04,26.69
T2M,1989,24.32,24.37,24.26,24.82,24.73,25.0,25.27,27.27,28.32,28.14,28.43,28.67,26.14
T2M,1990,26.24,26.2,25.54,25.52,25.64,26.09,26.13,28.65,27.91,27.89,27.26,24.61,26.47
T2M,1991,25.5,25.73,24.93,24.9,25.92,26.2,26.37,27.99,28.06,28.33,25.4,27.14,26.38
T2M,1992,26.98,26.99,26.59,27.27,27.18,26.38,26.04,26.93,26.74,27.54,26.69,26.56,26.82
T2M,1993,25.46,25.35,24.66,24.84,25.61,26.2,26.25,25.82,26.92,27.71,25.14,25.3,25.78
T2M,1994,25.04,24.9,25.75,25.11,26.49,26.07,26.95,29.4,29.03,27.41,26.58,25.55,26.53
T2M,1995,25.62,24.98,24.41,24.58,24.49,25.08,25.35,27.26,28.4,26.95,26.09,25.98,25.77
T2M,1996,25.02,24.5,24.56,24.26,24.66,24.25,25.62,26.98,28.03,26.21,25.76,25.09,25.41
T2M,1997,25.07,24.83,25.02,25.13,24.9,25.27,26.72,27.92,29.89,30.41,28.33,27.79,26.79
T2M,1998,29.08,27.92,26.89,26.55,25.13,25.5,27.86,29.05,28.34,27.01,25.11,24.95,26.95
T2M,1999,24.31,24.04,24.31,23.88,23.87,23.94,23.87,24.95,26.71,27.32,26.39,25.61,24.94
T2M,2000,24.95,24.57,24.31,24.08,24.62,24.55,24.68,27.35,28.31,27.89,27.16,26.26,25.73
