# Area: Senegal
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  14.5   Longitude -14.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.29 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.08,26.77,30.66,32.91,33.94,33.32,29.09,26.61,26.37,27.66,26.89,24.82,28.59
T2M,1982,23.61,26.0,29.32,31.97,32.71,33.37,30.51,28.49,28.11,28.49,26.66,23.19,28.54
T2M,1983,24.52,27.31,30.67,32.79,34.47,32.43,30.35,29.72,28.4,30.4,29.1,25.38,29.64
T2M,1984,24.58,25.69,29.34,32.23,34.46,30.97,29.17,29.61,28.46,28.61,27.56,24.55,28.77
T2M,1985,24.1,27.43,30.07,31.08,33.38,32.79,29.25,26.89,26.12,27.08,27.43,23.48,28.25
T2M,1986,22.35,26.74,28.01,32.95,33.79,33.1,30.61,27.89,26.54,26.62,24.71,22.64,27.99
T2M,1987,25.15,27.39,28.86,32.4,34.22,32.32,30.57,27.94,27.0,27.12,27.85,25.47,28.86
T2M,1988,23.48,27.44,30.03,32.8,34.13,33.41,30.01,27.17,26.52,26.94,26.27,23.86,28.5
T2M,1989,24.56,27.46,29.64,32.11,33.89,32.34,29.19,26.93,26.72,26.87,26.44,25.21,28.44
T2M,1990,23.28,28.19,30.87,32.37,34.16,33.6,29.84,28.15,27.61,28.74,27.69,25.75,29.18
T2M,1991,25.95,26.93,29.49,32.06,33.69,34.0,29.86,28.02,27.8,28.66,27.58,26.1,29.18
T2M,1992,25.19,27.57,28.25,31.74,33.02,33.07,29.63,28.21,26.69,28.58,27.09,25.68,28.72
T2M,1993,24.7,26.98,29.89,32.5,34.46,33.15,29.68,27.68,26.9,28.09,27.28,25.17,28.88
T2M,1994,22.91,26.74,30.14,31.99,33.13,32.55,30.23,26.93,26.4,26.56,26.7,23.65,28.16
T2M,1995,23.28,26.77,29.9,31.4,33.9,33.33,30.11,27.77,26.93,27.58,27.31,25.21,28.63
T2M,1996,25.66,28.64,29.26,31.67,34.33,32.9,30.34,27.29,26.88,27.3,25.73,25.37,28.78
T2M,1997,26.42,27.61,28.35,31.6,33.89,31.63,29.46,28.31,27.45,28.65,28.63,25.32,28.94
T2M,1998,25.34,29.97,30.58,33.99,34.79,33.9,30.94,28.14,27.14,28.04,27.16,26.19,29.67
T2M,1999,24.08,25.51,30.2,32.85,33.62,32.8,29.47,27.41,26.66,26.36,26.66,24.29,28.33
T2M,2000,25.98,26.8,30.55,33.65,33.38,32.79,30.82,29.06,29.15,28.23,27.58,24.9,29.41
T2M,2001,24.61,27.13,30.63,32.66,33.57,32.71,30.54,30.11,29.49,30.77,28.77,27.92,29.92
T2M,2002,25.81,27.53,29.82,31.41,34.25,33.78,32.84,30.39,29.89,30.4,28.94,27.02,30.19
T2M,2003,25.04,28.32,30.74,33.14,33.5,33.25,30.63,27.73,26.95,27.48,26.84,25.34,29.08
T2M,2004,25.24,27.44,29.66,32.76,34.7,32.72,29.76,27.99,27.55,28.99,28.42,27.03,29.35
T2M,2005,25.17,28.06,30.94,33.16,33.77,33.2,29.19,27.63,27.02,27.03,27.04,26.86,29.09
T2M,2006,24.66,26.67,30.55,32.58,33.51,32.47,31.05,28.3,27.26,28.91,28.2,24.71,29.08
T2M,2007,25.21,27.3,30.16,32.83,34.39,32.84,30.05,26.97,26.71,27.65,26.97,25.41,28.88
T2M,2008,23.88,28.65,31.32,33.41,34.13,32.05,27.84,26.82,26.71,26.58,25.77,24.88,28.49
T2M,2009,22.91,26.86,29.65,32.62,34.29,32.77,28.8,26.97,26.73,26.62,25.23,24.38,28.15
T2M,2010,25.38,28.93,31.48,33.25,35.11,32.66,28.75,27.02,26.42,26.48,25.73,26.3,28.95
T2M,2011,25.18,26.13,30.26,32.98,33.9,33.29,30.33,27.59,27.08,28.6,28.42,24.63,29.04
T2M,2012,24.74,26.14,29.38,31.61,33.65,33.1,29.32,27.47,26.73,27.89,29.41,25.17,28.72
T2M,2013,25.0,28.11,32.18,32.54,34.48,32.95,30.16,27.25,26.92,27.61,27.66,25.74,29.22
T2M,2014,25.81,25.94,29.47,33.1,34.24,33.44,31.13,28.06,27.54,28.05,28.16,25.23,29.19
T2M,2015,24.78,27.27,29.17,32.75,33.4,33.85,31.38,28.56,27.42,28.24,26.98,24.84,29.05
T2M,2016,26.58,26.55,29.97,33.48,34.38,33.19,30.49,28.83,27.8,30.58,28.69,26.32,29.74
T2M,2017,25.19,27.96,31.79,33.06,34.58,33.37,29.38,27.96,28.07,29.89,28.84,24.74,29.57
T2M,2018,24.4,26.06,31.24,32.21,33.39,33.25,30.65,29.17,28.02,28.95,28.7,26.1,29.36
T2M,2019,25.14,27.22,28.36,32.87,34.17,34.02,31.54,29.37,27.44,28.74,28.72,26.24,29.49
T2M,2020,24.97,29.42,30.58,33.48,34.31,33.08,29.8,28.26,26.9,26.88,25.58,26.49,29.14
T2M,2021,25.95,27.79,30.54,33.75,34.22,33.33,30.44,27.42,27.09,26.97,27.54,26.61,29.3
T2M,2022,26.49,27.56,30.21,33.46,34.06,32.22,29.59,27.48,26.75,26.81,25.11,25.7,28.79
T2M,2023,25.52,28.81,31.29,33.59,34.82,33.76,30.89,29.01,27.84,28.7,28.24,26.3,29.9
