# Area: Serbia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  44.02   Longitude 21.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 370.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-5.71,-1.59,6.56,8.8,13.9,19.35,19.68,20.7,17.22,12.53,2.27,-0.12,9.53
T2M,1982,-3.06,-2.86,2.63,6.73,15.51,19.82,20.54,20.95,19.9,11.64,3.2,2.03,9.83
T2M,1983,1.06,-0.82,5.61,12.45,16.83,17.62,20.76,20.78,16.13,9.84,1.8,-2.15,10.06
T2M,1984,-1.01,-2.32,2.29,7.81,14.55,16.83,19.17,19.78,17.86,13.12,4.38,-1.61,9.27
T2M,1985,-7.87,-6.09,3.2,10.37,16.71,17.21,21.74,21.72,15.82,9.62,3.1,2.5,9.1
T2M,1986,-0.43,-3.63,3.09,11.94,16.6,18.18,19.1,22.39,17.63,10.56,4.12,-1.65,9.9
T2M,1987,-4.91,-0.31,-1.06,8.93,13.26,18.75,24.3,20.57,20.57,10.21,5.43,-0.05,9.68
T2M,1988,2.22,2.03,3.69,8.57,14.66,18.3,24.47,23.6,17.29,9.81,-0.68,-0.26,10.35
T2M,1989,-1.37,2.52,7.58,13.0,13.74,15.95,20.17,21.47,15.6,10.45,2.98,-0.25,10.2
T2M,1990,-3.22,3.58,7.92,9.73,15.49,19.32,22.32,21.84,15.48,12.01,6.78,-1.58,10.84
T2M,1991,-1.19,-1.73,5.68,8.23,11.72,19.54,22.16,19.94,17.8,10.32,5.42,-3.82,9.56
T2M,1992,-2.15,0.07,4.45,10.01,14.53,18.76,21.13,25.83,17.09,12.52,5.41,-1.73,10.52
