# Area: Serbia and Montenegro
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  43.5   Longitude 20.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 795.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-6.76,-3.02,5.44,7.11,12.19,17.21,17.0,18.19,15.12,10.86,0.54,-0.89,7.81
T2M,1982,-3.33,-3.84,0.96,4.87,12.85,17.18,17.95,18.83,17.98,10.29,3.46,1.48,8.29
T2M,1983,-0.43,-2.86,3.45,9.87,14.52,15.03,18.14,17.86,13.93,8.26,0.78,-2.85,8.04
T2M,1984,-2.02,-3.27,0.6,5.48,12.62,14.57,16.82,17.28,15.34,11.3,3.75,-1.65,7.6
T2M,1985,-7.0,-6.01,3.13,7.99,14.39,14.97,19.32,19.68,14.08,8.41,3.06,2.29,7.95
T2M,1986,-1.33,-3.2,2.72,9.84,14.53,15.59,16.51,19.85,15.37,9.0,3.51,-2.2,8.41
T2M,1987,-4.37,-0.48,-2.83,6.6,10.86,16.55,21.64,18.31,18.39,9.42,3.95,-0.43,8.17
T2M,1988,1.58,0.17,1.49,6.88,12.9,15.59,21.33,21.29,15.07,9.31,-2.17,-1.48,8.54
T2M,1989,-2.24,1.51,5.62,10.63,11.44,13.7,17.58,18.48,13.83,8.77,1.83,-0.56,8.42
T2M,1990,-2.99,2.75,6.5,7.54,13.08,17.12,19.79,19.33,13.41,11.27,5.58,-2.8,9.25
T2M,1991,-2.73,-2.63,5.26,5.84,8.99,17.04,19.0,17.45,15.55,8.33,4.22,-4.99,7.66
T2M,1992,-2.49,-1.6,2.53,7.3,12.02,16.01,18.22,22.89,15.23,11.05,4.73,-2.03,8.69
T2M,1993,-1.97,-3.61,0.66,6.97,13.9,17.47,19.3,20.19,14.54,11.89,0.24,1.83,8.54
T2M,1994,0.56,-0.88,5.47,8.28,13.72,17.04,19.84,21.07,18.74,8.61,4.37,-0.68,9.74
T2M,1995,-4.48,2.56,2.14,6.47,11.8,16.33,20.0,16.88,13.11,8.93,0.4,0.03,7.88
T2M,1996,-2.47,-3.68,-1.8,6.36,13.59,17.51,18.58,19.08,10.61,8.25,5.79,-1.31,7.58
T2M,1997,-0.91,-0.18,1.27,2.36,12.9,17.73,18.1,16.75,12.98,6.05,4.17,-0.62,7.59
T2M,1998,-0.14,0.57,-0.27,8.94,11.8,18.49,20.24,20.19,13.6,9.9,0.62,-4.78,8.3
T2M,1999,-1.13,-2.59,2.98,8.3,13.41,16.71,18.22,19.53,15.82,9.66,2.97,0.16,8.74
T2M,2000,-5.74,-1.44,1.91,9.73,14.52,17.99,19.79,20.88,13.84,10.37,7.47,1.77,9.28
