# Area: Sierra Leone
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  8.46   Longitude -11.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 143.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.36,27.86,29.55,29.15,27.38,25.87,23.98,24.07,24.18,24.93,25.16,24.09,25.86
T2M,1982,24.41,26.91,27.47,27.15,25.93,25.16,23.82,23.32,24.4,24.51,24.65,22.16,24.97
T2M,1983,23.16,27.36,28.67,28.84,26.88,25.31,24.22,23.78,24.36,25.23,25.23,24.05,25.57
T2M,1984,24.03,25.5,27.8,28.03,25.67,25.01,24.12,24.32,24.55,24.65,24.84,23.51,25.16
T2M,1985,24.91,26.93,28.85,29.02,26.68,25.06,23.6,23.72,23.91,25.09,25.1,22.72,25.45
T2M,1986,24.04,27.69,28.7,29.38,26.64,25.34,23.73,23.52,23.94,24.73,24.45,22.94,25.4
T2M,1987,25.25,27.25,29.41,28.5,26.46,25.48,24.94,24.29,24.6,25.49,25.93,24.56,26.0
T2M,1988,24.67,27.5,28.71,27.5,26.56,25.06,24.11,23.9,24.26,25.27,25.41,23.37,25.52
T2M,1989,24.73,27.52,27.95,28.43,27.58,25.19,24.17,23.75,24.53,24.96,25.33,24.3,25.69
T2M,1990,23.59,26.23,29.19,28.81,26.15,25.42,24.08,23.99,24.65,25.5,25.18,24.56,25.6
T2M,1991,24.98,27.8,29.5,28.43,26.64,25.6,24.35,23.8,24.6,24.67,24.73,24.11,25.75
T2M,1992,23.71,26.38,28.83,27.38,25.47,24.77,23.54,23.23,24.19,24.75,24.35,24.39,25.07
T2M,1993,23.85,27.05,28.28,28.7,26.8,25.29,24.04,23.87,24.52,25.01,25.14,23.95,25.53
T2M,1994,24.22,26.33,27.01,28.21,26.98,25.09,23.94,23.81,24.29,24.46,24.98,23.29,25.2
T2M,1995,24.8,27.58,29.93,29.65,26.74,25.75,24.38,24.08,24.44,25.24,25.21,24.17,25.98
T2M,1996,26.03,27.51,29.27,28.56,27.82,26.32,25.41,24.33,24.18,25.22,25.44,25.95,26.33
T2M,1997,27.35,28.61,28.17,25.93,25.89,24.84,23.85,24.08,24.62,25.57,25.47,24.02,25.68
T2M,1998,24.29,28.23,29.75,28.61,26.79,25.95,24.41,24.03,24.51,25.46,25.19,24.19,25.93
T2M,1999,24.83,27.15,28.82,29.47,26.68,25.56,24.24,23.85,24.33,24.68,24.93,22.8,25.59
T2M,2000,24.81,25.58,27.82,26.47,26.24,25.38,24.06,23.65,24.18,24.88,24.96,24.34,25.19
T2M,2001,25.57,27.5,29.0,28.67,28.42,26.14,24.64,24.09,24.54,25.89,26.77,27.36,26.54
T2M,2002,27.77,29.55,30.18,30.43,30.14,27.07,25.89,25.06,26.05,26.56,28.38,28.88,27.98
