# Area: Sudan (former)
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.6   Longitude 32.53 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 407.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.09,22.82,27.06,30.18,34.2,34.42,30.69,31.05,29.08,30.6,26.19,24.66,28.62
T2M,1982,23.7,21.41,26.74,30.85,32.43,33.09,32.84,29.89,31.33,29.95,23.86,21.24,28.15
T2M,1983,18.06,21.98,24.46,29.2,32.57,34.72,33.63,32.1,32.54,31.19,27.06,23.97,28.48
T2M,1984,20.48,25.61,29.48,31.16,33.7,32.84,32.26,30.47,32.16,31.46,25.61,22.77,29.0
T2M,1985,24.66,20.65,28.63,29.32,33.49,33.12,30.31,30.0,29.68,30.09,25.68,23.27,28.29
T2M,1986,21.16,24.96,28.41,29.39,31.31,32.89,29.98,28.46,27.75,29.17,25.8,20.7,27.5
T2M,1987,21.84,25.02,26.73,29.91,32.8,31.74,30.5,29.56,31.43,30.64,27.72,22.54,28.38
T2M,1988,22.33,22.95,28.07,30.96,34.75,35.09,31.32,28.21,29.01,30.65,26.79,24.78,28.76
T2M,1989,18.31,20.42,26.23,30.89,34.64,34.41,33.02,31.43,31.97,30.92,27.76,22.02,28.54
T2M,1990,22.55,21.23,24.53,31.41,34.43,34.3,32.47,33.29,33.66,33.64,29.14,27.0,29.85
T2M,1991,22.02,24.3,27.24,34.15,36.16,34.94,33.2,32.3,33.91,32.59,27.39,21.51,29.99
T2M,1992,19.54,19.45,27.59,30.97,33.84,34.72,32.81,29.85,32.31,32.78,26.67,21.07,28.49
T2M,1993,20.68,21.85,27.51,31.36,33.18,33.84,30.97,29.98,30.19,32.37,29.04,24.82,28.85
T2M,1994,24.89,22.56,25.13,31.79,33.97,33.8,30.45,30.66,31.07,31.63,25.96,21.37,28.63
T2M,1995,23.1,22.49,27.77,30.54,33.92,35.49,30.35,29.66,30.28,31.76,25.6,22.55,28.66
T2M,1996,20.96,24.7,28.49,30.19,34.62,34.11,31.84,29.62,29.89,30.79,25.77,23.96,28.75
T2M,1997,22.4,20.37,27.22,30.84,34.16,34.28,31.66,30.34,33.52,32.82,26.99,22.89,29.0
T2M,1998,20.5,22.36,26.13,31.81,34.82,35.37,31.33,29.61,30.14,31.95,29.1,24.77,29.02
T2M,1999,23.55,28.51,26.49,30.78,35.3,34.92,30.14,29.26,29.73,30.35,27.93,25.31,29.35
T2M,2000,22.35,24.08,25.7,31.77,34.59,34.82,32.98,32.26,33.09,30.76,27.14,22.59,29.35
T2M,2001,21.21,23.36,27.97,32.25,34.28,33.93,32.31,30.6,32.53,31.86,27.76,24.55,29.41
T2M,2002,19.9,25.07,27.99,31.84,33.2,34.78,35.45,34.27,33.81,33.22,28.55,22.61,30.07
T2M,2003,23.21,24.88,27.41,31.31,34.62,35.19,31.93,30.35,33.79,33.96,28.39,24.03,29.94
T2M,2004,23.02,23.03,27.72,31.72,35.07,34.29,34.26,33.29,33.99,32.64,27.95,23.29,30.04
T2M,2005,20.8,27.07,27.72,32.14,32.84,34.98,31.67,31.24,32.38,32.46,26.47,25.69,29.62
T2M,2006,24.66,25.85,27.37,29.76,34.09,34.97,33.78,31.46,33.14,33.57,25.69,20.73,29.61
T2M,2007,19.63,23.36,27.52,31.39,34.56,34.3,29.27,28.72,30.35,32.38,28.86,24.69,28.77
T2M,2008,22.57,23.09,28.96,33.15,33.77,34.89,33.63,32.26,31.77,30.83,27.1,24.89,29.76
T2M,2009,24.02,26.3,26.59,33.09,33.66,35.34,31.76,32.31,33.88,32.29,27.31,22.2,29.9
T2M,2010,24.33,25.96,28.05,31.88,34.5,35.23,31.36,30.64,31.98,33.79,29.38,24.23,30.12
T2M,2011,20.9,25.5,26.29,30.84,33.38,34.75,33.57,31.71,32.86,32.8,24.25,22.91,29.16
T2M,2012,20.72,25.64,25.83,30.73,34.65,34.96,30.73,29.95,32.94,31.41,27.01,22.7,28.93
T2M,2013,23.45,26.18,28.36,29.94,33.75,34.41,33.62,28.88,31.67,31.1,26.98,22.7,29.26
T2M,2014,22.46,23.59,28.59,33.53,33.82,34.9,31.05,28.59,30.11,30.78,25.93,23.77,28.95
T2M,2015,20.86,25.98,29.6,29.48,34.58,34.8,34.44,31.52,33.31,33.39,26.3,20.07,29.54
T2M,2016,19.4,23.11,29.77,31.23,34.55,34.57,30.21,28.37,30.41,31.4,27.43,24.0,28.71
