# Area: Syrian Arab Republic
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  34.8   Longitude 38.99 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 579.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,5.0,6.49,11.16,14.24,18.32,25.19,28.35,27.8,25.59,20.48,8.98,7.73,16.67
T2M,1982,4.69,3.76,8.34,16.1,20.39,25.26,27.2,27.22,25.36,18.23,8.1,4.31,15.81
T2M,1983,1.41,4.62,9.32,14.79,21.35,25.33,27.78,26.6,24.6,17.95,13.78,6.88,16.26
T2M,1984,6.14,7.6,11.47,15.03,21.83,25.37,28.24,25.86,25.19,18.62,10.77,3.92,16.69
T2M,1985,6.26,4.08,8.22,15.73,22.84,25.96,27.08,30.17,24.87,17.39,13.5,5.84,16.9
T2M,1986,4.53,7.57,10.82,17.09,19.53,25.34,28.69,29.25,27.39,20.05,9.4,4.69,17.08
T2M,1987,5.19,8.6,7.59,14.72,21.95,25.71,29.73,28.88,25.18,17.26,10.64,6.72,16.89
T2M,1988,4.43,6.35,9.37,15.32,21.83,25.78,29.64,28.72,25.01,18.79,9.02,6.04,16.73
T2M,1989,2.09,4.81,11.54,21.02,23.06,25.39,28.73,28.01,24.14,18.4,11.91,6.44,17.19
T2M,1990,2.58,5.68,9.93,16.03,21.76,25.83,28.7,26.88,24.27,19.46,13.48,7.56,16.9
T2M,1991,4.4,5.16,11.37,16.84,19.96,26.21,27.13,27.03,24.19,19.67,12.59,4.85,16.67
T2M,1992,1.77,2.84,7.36,15.18,20.47,24.78,26.44,27.88,24.25,20.44,11.31,4.44,15.63
T2M,1993,3.99,4.35,9.29,15.54,19.29,25.54,28.47,28.45,25.25,21.73,9.68,8.12,16.72
T2M,1994,7.54,7.19,11.63,19.22,23.3,26.13,27.76,28.11,27.56,22.08,10.92,3.79,17.99
T2M,1995,6.39,8.31,11.7,15.58,23.46,27.46,27.93,28.6,25.08,18.92,10.43,6.45,17.58
T2M,1996,5.48,7.71,10.19,14.58,23.88,26.55,31.03,29.21,25.18,18.97,12.86,9.56,17.97
T2M,1997,5.72,4.67,7.47,13.83,22.48,26.13,28.1,25.83,23.19,19.88,11.94,6.92,16.42
T2M,1998,3.94,5.22,9.03,16.37,21.32,26.26,29.6,30.7,25.73,20.1,15.42,9.0,17.79
T2M,1999,6.61,8.08,11.54,16.79,23.79,25.84,28.8,29.53,24.84,20.4,12.38,7.29,18.05
T2M,2000,4.19,5.33,9.22,17.27,21.23,26.68,31.05,29.21,24.81,18.34,12.26,6.3,17.19
T2M,2001,5.43,7.4,14.52,17.31,20.84,26.64,29.11,29.19,25.75,19.81,10.79,7.06,17.88
T2M,2002,3.32,7.65,12.03,15.12,20.71,25.96,29.61,27.88,25.14,21.55,12.38,4.2,17.18
T2M,2003,6.3,5.66,8.39,16.21,23.69,26.21,28.41,29.06,24.21,20.89,11.37,5.75,17.25
T2M,2004,5.61,6.37,12.24,15.78,19.89,25.67,29.5,27.86,25.56,21.3,11.84,3.73,17.14
T2M,2005,4.63,5.91,10.95,17.05,21.47,25.57,28.96,28.51,24.2,18.46,10.17,8.94,17.14
T2M,2006,4.26,7.13,11.63,16.53,22.61,27.73,27.91,29.45,24.97,19.45,9.38,4.45,17.18
T2M,2007,3.56,7.41,10.59,13.6,23.66,26.88,29.7,28.82,25.96,20.99,12.71,6.22,17.57
T2M,2008,1.93,5.51,14.41,19.33,21.12,26.94,28.83,29.97,26.15,19.71,13.1,6.1,17.79
T2M,2009,4.42,8.0,10.16,16.2,21.61,27.63,28.48,28.2,23.75,21.42,11.46,8.83,17.57
T2M,2010,7.65,8.89,13.86,17.45,22.89,27.28,29.54,31.6,27.0,21.64,15.29,9.08,19.41
T2M,2011,5.59,6.88,10.94,15.83,20.86,25.79,29.68,28.71,25.47,17.8,7.98,5.31,16.8
T2M,2012,4.53,4.85,7.81,17.99,21.92,27.94,30.43,29.18,26.06,21.18,13.76,7.16,17.76
