# Area: Timor-Leste
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -8.87   Longitude 125.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 741.66 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.69,22.36,22.58,22.54,22.06,21.31,21.42,21.15,22.98,23.83,24.03,23.41,22.53
T2M,1982,22.79,22.42,22.7,22.61,21.74,20.77,19.86,20.26,21.71,22.68,24.17,25.22,22.24
T2M,1983,24.21,23.85,23.51,23.5,22.36,21.71,20.64,21.36,22.68,24.23,25.2,24.19,23.11
T2M,1984,23.06,22.56,22.77,22.46,21.94,20.87,20.26,21.38,22.43,23.35,25.19,23.67,22.49
T2M,1985,23.59,23.25,23.42,23.23,23.13,20.98,19.81,20.85,22.43,23.74,24.84,24.16,22.78
T2M,1986,22.87,22.34,22.47,22.92,22.28,22.07,21.46,21.09,22.38,24.43,24.12,24.62,22.76
T2M,1987,23.07,22.65,22.3,22.62,22.21,21.53,20.65,20.76,22.01,24.05,25.44,24.09,22.61
T2M,1988,23.81,23.3,23.77,23.09,22.86,20.56,20.94,21.85,23.1,24.29,24.53,22.95,22.92
T2M,1989,24.04,23.29,22.67,22.84,22.7,21.73,21.73,20.99,22.45,24.74,25.42,24.5,23.09
T2M,1990,23.09,23.86,23.45,24.12,23.05,21.37,21.35,21.21,21.59,23.52,25.58,24.13,23.02
T2M,1991,23.56,22.91,22.66,22.71,21.88,21.18,20.95,21.11,22.45,23.31,24.85,25.43,22.75
T2M,1992,23.85,23.17,23.66,22.97,22.91,21.61,20.83,21.45,23.55,23.62,24.89,23.88,23.03
T2M,1993,23.61,22.58,22.86,22.23,21.68,21.19,20.46,20.77,21.94,23.65,24.87,24.03,22.49
T2M,1994,23.43,23.44,22.75,22.01,21.76,20.94,20.19,20.26,21.27,23.23,25.5,24.03,22.39
T2M,1995,23.24,23.15,23.02,22.43,22.0,21.17,20.41,20.78,22.46,23.92,24.69,23.66,22.57
T2M,1996,23.44,23.21,22.83,22.46,21.65,21.47,21.11,22.32,23.14,24.63,24.45,23.5,22.85
T2M,1997,23.1,23.04,22.45,22.34,21.73,20.82,20.44,20.7,21.61,23.84,25.26,24.89,22.51
T2M,1998,25.25,24.76,24.26,23.9,23.1,22.43,22.43,22.04,23.29,25.01,23.95,23.49,23.65
T2M,1999,23.55,22.93,23.3,22.99,20.84,20.71,19.82,20.06,21.21,23.58,24.19,23.48,22.22
T2M,2000,23.0,23.09,22.85,23.03,21.99,20.42,19.81,20.5,22.01,23.83,24.76,24.12,22.45
T2M,2001,23.4,23.23,23.15,22.98,22.12,21.57,20.38,20.55,22.73,24.73,24.58,23.8,22.76
