# Area: Tokelau
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.2   Longitude -171.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.79,27.73,27.94,27.57,27.96,27.63,27.64,27.35,27.91,27.76,27.81,27.91,27.75
T2M,1982,27.79,27.96,27.97,28.27,28.5,28.38,27.72,27.59,27.45,27.8,27.95,28.23,27.97
T2M,1983,27.99,28.08,27.6,27.61,28.08,27.51,27.25,27.25,27.52,27.67,27.57,27.55,27.64
T2M,1984,27.43,27.62,27.29,27.96,28.13,27.69,27.6,27.22,27.56,27.6,27.61,27.34,27.59
T2M,1985,26.98,27.26,27.1,27.47,27.51,27.78,27.34,27.46,27.44,27.67,27.32,27.54,27.41
T2M,1986,27.86,27.41,28.1,27.82,27.95,28.13,27.42,27.16,27.68,27.89,27.98,28.0,27.79
T2M,1987,27.58,27.93,27.73,28.03,27.56,27.93,27.74,27.28,27.79,27.94,28.12,28.46,27.84
T2M,1988,27.95,28.45,28.2,27.78,28.09,27.97,27.63,27.53,27.74,27.42,27.27,27.38,27.78
T2M,1989,27.02,26.94,27.15,27.24,27.57,27.49,27.22,27.04,27.47,27.59,27.76,27.65,27.35
T2M,1990,28.05,27.63,27.49,27.85,28.27,28.12,27.61,27.71,27.82,28.06,27.91,28.1,27.89
T2M,1991,28.48,28.28,28.11,28.21,28.29,28.49,27.81,27.93,27.71,27.96,28.16,28.04,28.12
T2M,1992,28.11,28.04,28.29,28.11,28.2,28.33,28.15,27.94,27.91,27.96,27.99,28.2,28.1
T2M,1993,28.25,27.86,27.71,28.15,28.47,28.43,27.78,27.92,28.08,28.09,28.22,28.29,28.1
T2M,1994,28.17,27.92,28.1,28.33,28.6,28.23,28.06,27.75,27.94,28.27,27.98,28.39,28.15
T2M,1995,28.1,28.08,27.98,28.13,28.38,28.69,28.14,28.03,28.14,27.71,27.98,27.83,28.1
T2M,1996,28.02,27.8,27.59,27.56,27.72,28.0,27.68,27.47,27.38,27.6,27.64,27.61,27.67
T2M,1997,27.73,28.01,27.51,27.95,28.21,27.51,28.02,27.77,28.08,27.9,28.36,27.93,27.91
T2M,1998,28.03,28.12,28.12,27.98,28.08,28.04,27.56,27.75,28.07,27.67,27.81,28.03,27.94
T2M,1999,27.23,27.22,27.39,27.8,28.0,27.65,27.68,27.24,27.38,27.64,27.59,27.62,27.54
T2M,2000,27.67,27.35,27.15,27.63,27.9,27.96,27.44,27.47,27.47,27.6,27.88,27.94,27.62
T2M,2001,28.07,27.67,27.55,28.07,28.2,28.05,28.12,27.94,27.79,27.93,28.5,27.7,27.97
T2M,2002,28.04,27.9,28.54,28.63,28.63,28.81,28.09,27.96,28.4,28.34,28.92,28.14,28.37
T2M,2003,28.56,28.68,28.61,28.77,28.49,28.12,28.53,28.14,28.33,28.47,28.33,28.59,28.47
T2M,2004,28.3,28.37,28.03,28.47,28.61,28.7,28.19,28.29,28.17,28.31,28.48,28.52,28.37
T2M,2005,28.96,28.69,28.65,29.0,28.99,28.47,28.33,28.21,28.32,28.55,28.29,28.61,28.59
T2M,2006,28.42,28.11,27.58,28.1,28.41,28.51,28.02,28.18,28.36,28.45,28.48,28.8,28.29
T2M,2007,28.89,28.16,28.17,28.73,28.22,28.94,28.36,28.13,28.21,27.78,28.13,27.75,28.29
T2M,2008,27.8,27.45,27.45,27.79,27.88,28.09,27.83,27.71,27.8,28.0,27.91,28.27,27.83
T2M,2009,27.97,28.21,27.76,28.19,28.44,28.46,28.43,27.73,28.31,28.47,28.87,28.78,28.3
T2M,2010,29.07,28.3,28.39,28.76,28.91,28.84,28.36,28.15,27.92,27.79,27.28,27.6,28.28
