# Area: Turkmenistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.97   Longitude 59.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,3.52,4.4,11.69,16.02,22.2,28.46,32.22,29.97,23.91,14.56,10.04,3.92,16.81
T2M,1982,-1.4,1.37,7.51,20.26,25.53,29.05,32.51,29.1,22.81,14.79,4.45,1.33,15.69
T2M,1983,2.28,6.93,8.14,19.09,25.56,31.07,35.7,31.61,24.39,15.43,10.56,2.9,17.86
T2M,1984,0.21,-3.39,7.54,18.27,23.6,29.99,34.84,32.39,23.74,15.96,9.12,-4.72,15.68
T2M,1985,-1.2,5.47,6.75,19.66,25.65,32.23,32.63,29.39,24.2,13.95,7.83,3.02,16.68
T2M,1986,2.8,4.25,5.14,17.53,25.58,30.28,33.11,30.0,25.59,17.01,7.69,3.19,16.91
T2M,1987,4.18,4.43,9.45,15.97,26.29,30.43,32.4,32.29,23.67,11.43,7.94,5.09,17.04
T2M,1988,1.6,2.03,9.98,19.81,23.56,31.7,33.16,30.21,24.2,16.17,11.4,6.88,17.6
T2M,1989,-0.52,1.46,10.42,16.37,22.94,31.38,34.68,31.64,23.78,17.75,7.97,4.29,16.94
T2M,1990,-0.03,4.32,10.4,16.88,24.53,32.12,32.92,31.29,26.1,15.14,11.11,0.96,17.2
T2M,1991,0.38,3.15,8.53,19.14,22.78,29.48,33.06,29.79,24.24,17.75,7.69,2.5,16.61
T2M,1992,0.52,4.2,6.92,16.26,20.41,29.46,31.96,28.19,22.56,14.25,9.53,3.48,15.67
T2M,1993,1.27,1.78,8.82,17.64,23.38,30.6,32.55,29.63,24.52,13.7,3.17,1.05,15.75
T2M,1994,2.1,0.57,9.59,16.01,25.23,30.53,32.22,31.93,21.48,15.77,11.79,1.72,16.67
T2M,1995,2.63,4.87,8.72,19.51,25.03,30.71,34.03,31.9,24.17,14.87,11.62,1.67,17.54
T2M,1996,-0.09,1.68,6.42,15.48,24.78,30.93,33.29,29.63,25.28,15.58,6.6,4.93,16.25
T2M,1997,2.87,2.95,8.88,18.44,24.25,31.86,33.93,30.58,24.03,19.66,6.37,3.56,17.37
T2M,1998,0.37,2.55,8.83,20.15,23.92,31.97,34.02,31.81,24.96,15.92,10.52,5.3,17.6
