# Area: Türkiye
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.96   Longitude 35.24 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1165.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,1.29,1.54,6.13,8.52,11.74,18.64,22.24,21.11,18.91,14.57,3.4,4.13,11.08
T2M,1982,0.02,-1.58,2.28,10.17,14.06,18.18,19.75,20.14,17.86,11.19,3.67,0.86,9.78
T2M,1983,-2.68,-0.36,4.26,10.1,14.85,17.72,21.53,19.96,17.64,10.69,6.97,2.61,10.33
T2M,1984,1.8,3.29,5.71,8.37,14.36,18.25,20.86,18.42,19.4,13.03,5.58,-0.74,10.71
T2M,1985,2.09,-3.06,3.76,10.81,16.47,19.07,19.09,23.53,17.46,9.58,8.48,1.08,10.77
T2M,1986,1.08,2.53,5.89,11.95,11.05,17.55,21.81,23.85,19.8,12.44,3.14,1.01,11.05
T2M,1987,1.5,3.4,1.64,8.39,15.06,18.56,22.04,21.23,18.05,11.13,5.03,0.58,10.59
T2M,1988,-0.58,1.08,2.64,9.32,14.14,17.4,20.23,21.17,17.41,10.88,0.91,1.41,9.7
T2M,1989,-4.05,-0.17,6.17,14.43,15.2,19.27,21.99,23.0,17.93,10.5,5.32,-0.32,10.82
T2M,1990,-3.42,0.46,4.63,8.92,12.49,17.73,21.54,19.36,17.03,12.53,7.66,1.76,10.11
T2M,1991,-1.55,-2.65,5.05,9.69,13.25,18.68,22.15,21.95,17.58,12.84,5.87,-2.39,10.11
T2M,1992,-4.96,-5.85,1.45,8.5,12.73,17.65,18.72,21.3,16.07,13.67,3.41,-3.53,8.31
