# Area: Ukraine
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  48.38   Longitude 31.17 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 178.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-5.39,-3.02,0.94,4.99,14.3,20.57,20.81,19.72,14.98,9.88,0.18,-1.51,8.1
T2M,1982,-5.44,-5.68,1.15,6.08,14.77,16.88,18.24,20.17,16.42,8.34,2.74,0.73,7.95
T2M,1983,-2.19,-2.62,2.29,10.71,17.57,19.67,20.37,18.99,16.24,8.5,0.54,-2.34,9.04
T2M,1984,-2.99,-6.59,-0.07,7.9,16.16,16.59,18.66,19.04,16.68,10.06,-0.18,-6.48,7.44
T2M,1985,-10.55,-13.87,-4.16,8.43,16.68,17.21,18.52,20.89,13.53,7.33,-0.32,-2.79,6.03
T2M,1986,-4.32,-8.43,0.82,9.73,16.15,20.88,20.84,22.36,15.46,7.61,0.07,-4.75,8.13
T2M,1987,-13.49,-5.02,-5.28,4.88,13.92,18.93,22.89,18.38,15.09,6.68,1.67,-4.22,6.25
T2M,1988,-5.18,-2.95,1.52,7.49,14.39,19.09,22.96,21.29,15.27,6.9,-2.51,-5.0,7.81
T2M,1989,-1.21,1.36,4.64,10.62,15.17,20.43,20.82,22.47,14.85,8.99,-0.18,-1.43,9.76
T2M,1990,-1.81,0.99,5.95,9.47,14.69,17.77,21.34,20.67,14.16,8.59,5.04,-3.52,9.49
T2M,1991,-3.25,-5.62,0.97,8.63,13.13,19.73,22.95,19.75,15.47,9.43,2.11,-3.68,8.38
T2M,1992,-4.04,-3.39,3.13,7.11,13.48,18.39,21.58,24.53,14.32,7.5,1.68,-4.38,8.37
T2M,1993,-2.77,-2.99,0.27,7.12,15.58,17.23,19.27,19.77,13.15,8.41,-5.26,-0.96,7.48
T2M,1994,-1.24,-5.23,1.36,10.06,13.83,17.5,22.5,20.83,19.36,9.15,0.35,-4.46,8.75
T2M,1995,-6.4,0.31,2.28,8.21,14.6,21.42,22.21,20.78,15.06,8.23,-1.08,-6.73,8.28
