# Area: Yemen
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.55   Longitude 48.52 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1015.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.93,19.72,23.02,25.44,28.22,30.7,31.26,31.02,28.92,23.72,19.97,17.81,24.92
T2M,1982,18.76,20.3,22.81,25.02,27.4,30.44,30.83,30.88,28.08,23.25,20.53,19.1,24.81
T2M,1983,17.47,19.61,22.28,25.66,27.86,30.41,32.23,31.49,29.48,23.17,19.09,17.19,24.69
T2M,1984,16.44,17.45,21.79,24.94,27.26,30.52,31.64,30.81,27.46,22.68,19.22,18.69,24.1
T2M,1985,19.03,18.34,23.01,25.61,28.5,30.32,31.1,31.16,28.62,23.65,20.5,17.02,24.77
T2M,1986,16.85,20.78,23.78,24.97,27.42,30.54,30.68,30.42,27.41,23.03,20.81,18.0,24.57
T2M,1987,16.72,19.75,24.02,25.4,26.79,31.19,30.5,31.16,29.26,24.38,19.82,18.33,24.8
T2M,1988,18.21,21.8,23.5,25.82,28.51,30.59,30.42,31.94,30.03,23.83,18.96,17.29,25.08
T2M,1989,16.18,20.07,21.98,24.04,27.7,29.98,31.75,31.43,28.34,23.51,20.65,19.18,24.59
T2M,1990,19.18,21.88,22.46,25.35,30.0,30.86,31.06,31.91,30.13,24.39,19.78,17.81,25.42
T2M,1991,19.61,20.41,24.01,26.84,28.8,31.04,31.64,31.81,29.0,23.55,19.0,19.32,25.45
T2M,1992,18.12,20.93,22.41,24.64,27.69,29.69,31.32,30.57,28.07,23.67,20.56,19.87,24.81
T2M,1993,17.78,19.01,22.21,24.22,27.4,30.59,30.92,31.07,29.36,24.38,20.21,17.79,24.61
T2M,1994,17.6,19.92,22.35,25.32,27.85,31.29,31.81,30.94,28.57,24.05,21.3,17.49,24.9
T2M,1995,17.48,21.18,22.63,24.99,27.9,30.46,30.93,30.69,29.17,24.91,19.55,18.83,24.91
T2M,1996,19.75,20.3,23.77,25.24,27.44,28.97,31.24,30.21,29.03,23.4,19.63,17.49,24.72
T2M,1997,18.19,20.45,23.16,25.49,28.53,30.81,31.91,31.55,29.36,24.49,23.2,20.52,25.66
T2M,1998,19.8,22.02,23.19,26.05,29.13,31.93,31.45,30.15,29.48,25.09,19.99,18.47,25.58
T2M,1999,18.4,21.24,22.87,25.59,29.46,30.88,30.88,31.17,29.35,25.19,20.78,16.93,25.25
T2M,2000,18.24,20.81,21.82,26.86,28.72,30.73,30.92,30.87,29.11,25.3,21.92,18.92,25.36
T2M,2001,15.89,20.08,24.11,26.0,29.61,31.09,31.02,30.33,28.39,25.18,20.02,19.34,25.12
T2M,2002,18.4,19.17,23.44,25.29,29.42,31.16,31.94,31.0,28.77,24.47,20.67,20.65,25.4
T2M,2003,17.97,22.06,23.61,25.84,29.05,31.06,32.31,30.92,29.51,24.08,21.72,19.27,25.63
T2M,2004,20.32,19.47,22.4,26.76,29.01,30.86,31.69,31.59,29.09,24.14,21.39,18.46,25.45
T2M,2005,18.42,21.46,24.57,25.37,28.6,31.0,32.12,31.57,30.19,23.81,21.22,17.91,25.54
T2M,2006,18.96,20.48,23.49,25.72,29.73,31.51,31.88,30.77,29.57,24.57,21.78,19.86,25.72
T2M,2007,17.49,22.65,23.82,25.83,29.25,30.95,31.52,31.89,30.28,23.92,20.94,17.82,25.54
T2M,2008,19.71,17.19,21.32,25.81,28.93,30.61,32.15,31.0,28.94,24.37,19.91,16.45,24.72
T2M,2009,18.14,20.98,22.64,25.63,28.75,30.91,32.39,31.66,28.78,24.2,21.4,20.3,25.51
T2M,2010,17.39,21.0,23.96,26.94,29.08,31.53,31.25,31.45,29.33,25.33,19.58,16.74,25.32
T2M,2011,18.21,20.93,21.97,25.58,28.63,31.71,31.75,31.58,30.23,23.88,21.67,15.46,25.14
T2M,2012,18.44,19.19,21.34,25.5,27.5,31.27,31.17,31.54,29.67,24.02,21.22,19.9,25.08
T2M,2013,18.25,19.73,23.11,26.09,29.1,31.08,31.53,30.46,29.48,24.62,21.54,16.93,25.18
T2M,2014,18.01,19.77,23.14,25.95,28.83,31.14,32.7,31.49,29.64,24.52,21.52,17.59,25.39
T2M,2015,16.58,20.14,23.69,26.29,28.69,31.89,32.81,31.94,29.55,25.48,22.06,18.15,25.63
T2M,2016,19.4,19.06,25.62,26.79,30.08,31.55,32.3,30.91,30.13,23.71,20.68,19.51,25.83
T2M,2017,18.89,19.41,24.18,26.24,29.25,32.11,32.68,32.87,29.76,25.13,21.21,15.39,25.63
T2M,2018,16.41,19.68,22.98,26.82,28.18,31.78,32.16,32.02,28.71,24.89,22.09,18.74,25.4
T2M,2019,19.49,21.66,24.05,25.98,28.92,31.95,33.07,32.48,30.94,25.48,22.3,19.63,26.35
T2M,2020,18.46,21.38,23.67,25.83,29.84,31.03,31.48,32.39,29.62,24.14,21.4,18.59,25.66
T2M,2021,17.12,20.04,22.7,25.13,29.38,31.31,30.19,32.28,30.88,26.19,21.46,18.38,25.45
T2M,2022,19.33,20.21,22.64,26.23,29.31,31.74,30.6,30.24,30.17,24.66,21.83,19.35,25.55
T2M,2023,19.25,20.37,23.93,26.53,28.71,31.96,33.11,32.95,30.89,25.78,23.27,18.83,26.33
